order_id,event_id,event_version,order_timestamp_utc,region_code,category_code,currency_code,gross_amount,customer_segment,source_updated_at,ingested_at
SO-202608-00001,CDC-00000001,1,2026-08-01T00:03:49Z,BC,DEV,CAD,1497.82,Enterprise,2026-08-01T00:05:02Z,2026-09-26T17:30:00Z
SO-202608-00002,CDC-00000002,1,2026-08-01T03:39:18Z,QC,ACC,CAD,65.14,SMB,2026-08-01T03:45:03Z,2026-09-26T17:30:00Z
SO-202608-00003,CDC-00000003,1,2026-08-01T04:48:18Z,AB,DEV,CAD,688.82,Enterprise,2026-08-01T04:55:27Z,2026-09-26T17:30:00Z
SO-202608-00004,CDC-00000004,1,2026-08-01T05:38:16Z,AB,SVC,CAD,742.75,SMB,2026-08-01T05:42:35Z,2026-09-26T17:30:00Z
SO-202608-00005,CDC-00000005,1,2026-08-01T06:02:23Z,ON,ACC,CAD,97.4,Consumer,2026-08-01T06:09:08Z,2026-09-26T17:30:00Z
SO-202608-00006,CDC-00000006,1,2026-08-01T07:54:51Z,BC,DEV,USD,1666.52,Enterprise,2026-08-01T08:03:55Z,2026-09-26T17:30:00Z
SO-202608-00007,CDC-00000007,1,2026-08-01T08:06:57Z,BC,ACC,USD,63.48,Enterprise,2026-08-01T08:07:12Z,2026-09-26T17:30:00Z
SO-202608-00008,CDC-00000008,1,2026-08-01T09:32:22Z,BC,DEV,CAD,1738.37,Consumer,2026-08-01T09:37:24Z,2026-09-26T17:30:00Z
SO-202608-00009,CDC-00000009,1,2026-08-01T09:40:39Z,BC,DEV,CAD,774.88,SMB,2026-08-01T09:44:34Z,2026-09-26T17:30:00Z
SO-202608-00010,CDC-00000010,1,2026-08-01T11:01:05Z,QC,SVC,CAD,239.57,Consumer,2026-08-01T11:02:35Z,2026-09-26T17:30:00Z
SO-202608-00011,CDC-00000011,1,2026-08-01T11:30:43Z,AB,ACC,CAD,169.25,Consumer,2026-08-01T11:31:57Z,2026-09-26T17:30:00Z
SO-202608-00012,CDC-00000012,1,2026-08-01T13:11:20Z,ON,ACC,CAD,204.4,Consumer,2026-08-01T13:12:49Z,2026-09-26T17:30:00Z
SO-202608-00013,CDC-00000013,1,2026-08-01T13:40:58Z,QC,SVC,CAD,376.99,Enterprise,2026-08-01T13:42:53Z,2026-09-26T17:30:00Z
SO-202608-00014,CDC-00000014,1,2026-08-01T13:53:12Z,BC,SVC,CAD,995.39,SMB,2026-08-01T14:01:41Z,2026-09-26T17:30:00Z
SO-202608-00015,CDC-00000015,1,2026-08-01T14:40:27Z,ON,ACC,CAD,47.5,Enterprise,2026-08-01T14:43:04Z,2026-09-26T17:30:00Z
SO-202608-00016,CDC-00000016,1,2026-08-01T14:53:16Z,BC,SVC,CAD,633.98,Consumer,2026-08-01T15:02:08Z,2026-09-26T17:30:00Z
SO-202608-00017,CDC-00000017,1,2026-08-01T15:40:37Z,BC,DEV,CAD,856.21,Consumer,2026-08-01T15:44:16Z,2026-09-26T17:30:00Z
SO-202608-00018,CDC-00000018,1,2026-08-01T16:30:44Z,QC,DEV,CAD,1355.85,Enterprise,2026-08-01T16:32:20Z,2026-09-26T17:30:00Z
SO-202608-00019,CDC-00000019,1,2026-08-01T18:25:29Z,ON,DEV,CAD,1675.41,Consumer,2026-08-01T18:26:05Z,2026-09-26T17:30:00Z
SO-202608-00020,CDC-00000020,1,2026-08-01T18:35:17Z,ON,SVC,CAD,525.37,Consumer,2026-08-01T18:43:30Z,2026-09-26T17:30:00Z
SO-202608-00021,CDC-00000021,1,2026-08-01T19:41:03Z,QC,ACC,CAD,145.39,Enterprise,2026-08-01T19:44:15Z,2026-09-26T17:30:00Z
SO-202608-00022,CDC-00000022,1,2026-08-01T20:50:34Z,BC,SVC,USD,1156.44,SMB,2026-08-01T20:51:03Z,2026-09-26T17:30:00Z
SO-202608-00023,CDC-00000023,1,2026-08-01T20:57:13Z,BC,DEV,CAD,1237.55,SMB,2026-08-01T21:04:49Z,2026-09-26T17:30:00Z
SO-202608-00024,CDC-00000024,1,2026-08-01T21:25:22Z,QC,ACC,CAD,31.87,SMB,2026-08-01T21:28:21Z,2026-09-26T17:30:00Z
SO-202608-00025,CDC-00000025,1,2026-08-01T21:30:03Z,AB,DEV,CAD,560.79,SMB,2026-08-01T21:33:54Z,2026-09-26T17:30:00Z
SO-202608-00026,CDC-00000026,1,2026-08-01T21:49:43Z,BC,ACC,CAD,88.8,Enterprise,2026-08-01T21:50:13Z,2026-09-26T17:30:00Z
SO-202608-00027,CDC-00000027,1,2026-08-01T22:33:27Z,QC,ACC,CAD,127.82,Consumer,2026-08-01T22:41:44Z,2026-09-26T17:30:00Z
SO-202608-00028,CDC-00000028,1,2026-08-01T22:53:17Z,ON,ACC,CAD,110.04,Enterprise,2026-08-01T22:56:29Z,2026-09-26T17:30:00Z
SO-202608-00029,CDC-00000029,1,2026-08-01T23:20:12Z,ON,ACC,CAD,191.66,Enterprise,2026-08-01T23:21:03Z,2026-09-26T17:30:00Z
SO-202608-00030,CDC-00000030,1,2026-08-02T00:47:13Z,AB,DEV,CAD,1485.51,Consumer,2026-08-02T00:50:46Z,2026-09-26T17:30:00Z
SO-202608-00031,CDC-00000031,1,2026-08-02T00:47:33Z,BC,SVC,CAD,1223.15,Enterprise,2026-08-02T00:48:43Z,2026-09-26T17:30:00Z
SO-202608-00032,CDC-00000032,1,2026-08-02T04:02:42Z,AB,SVC,CAD,680.06,SMB,2026-08-02T04:04:29Z,2026-09-26T17:30:00Z
SO-202608-00033,CDC-00000033,1,2026-08-02T04:08:03Z,BC,SVC,CAD,414.4,Consumer,2026-08-02T04:15:27Z,2026-09-26T17:30:00Z
SO-202608-00034,CDC-00000034,1,2026-08-02T04:16:28Z,ON,DEV,CAD,818.23,Enterprise,2026-08-02T04:22:53Z,2026-09-26T17:30:00Z
SO-202608-00035,CDC-00000035,1,2026-08-02T04:38:21Z,QC,ACC,CAD,204.88,Consumer,2026-08-02T04:43:21Z,2026-09-26T17:30:00Z
SO-202608-00036,CDC-00000036,1,2026-08-02T06:04:54Z,BC,SVC,CAD,1083.27,Enterprise,2026-08-02T06:10:04Z,2026-09-26T17:30:00Z
SO-202608-00037,CDC-00000037,1,2026-08-02T06:13:53Z,ON,ACC,CAD,187.06,Consumer,2026-08-02T06:14:02Z,2026-09-26T17:30:00Z
SO-202608-00038,CDC-00000038,1,2026-08-02T06:25:05Z,ON,SVC,CAD,1223.8,Enterprise,2026-08-02T06:28:16Z,2026-09-26T17:30:00Z
SO-202608-00039,CDC-00000039,1,2026-08-02T07:23:12Z,BC,SVC,CAD,374.81,Consumer,2026-08-02T07:24:36Z,2026-09-26T17:30:00Z
SO-202608-00040,CDC-00000040,1,2026-08-02T08:47:18Z,QC,ACC,CAD,115.2,SMB,2026-08-02T08:52:40Z,2026-09-26T17:30:00Z
SO-202608-00041,CDC-00000041,1,2026-08-02T08:47:33Z,QC,DEV,CAD,2384.23,Consumer,2026-08-02T08:48:34Z,2026-09-26T17:30:00Z
SO-202608-00042,CDC-00000042,1,2026-08-02T10:36:16Z,QC,DEV,CAD,1724.85,Enterprise,2026-08-02T10:43:35Z,2026-09-26T17:30:00Z
SO-202608-00043,CDC-00000043,1,2026-08-02T10:49:24Z,BC,ACC,CAD,64.21,SMB,2026-08-02T10:50:09Z,2026-09-26T17:30:00Z
SO-202608-00044,CDC-00000044,1,2026-08-02T13:05:12Z,QC,DEV,CAD,1863.2,Enterprise,2026-08-02T13:05:26Z,2026-09-26T17:30:00Z
SO-202608-00045,CDC-00000045,1,2026-08-02T13:28:09Z,ON,DEV,CAD,1041.1,Consumer,2026-08-02T13:37:24Z,2026-09-26T17:30:00Z
SO-202608-00046,CDC-00000046,1,2026-08-02T13:58:06Z,ON,DEV,CAD,1791.2,SMB,2026-08-02T14:08:00Z,2026-09-26T17:30:00Z
SO-202608-00047,CDC-00000047,1,2026-08-02T14:00:56Z,AB,ACC,CAD,214.66,Consumer,2026-08-02T14:05:29Z,2026-09-26T17:30:00Z
SO-202608-00048,CDC-00000048,1,2026-08-02T15:12:08Z,ON,DEV,CAD,943.91,Consumer,2026-08-02T15:19:40Z,2026-09-26T17:30:00Z
SO-202608-00049,CDC-00000049,1,2026-08-02T18:28:36Z,QC,ACC,CAD,89.92,Consumer,2026-08-02T18:35:58Z,2026-09-26T17:30:00Z
SO-202608-00050,CDC-00000050,1,2026-08-02T19:38:18Z,ON,SVC,CAD,866.32,Enterprise,2026-08-02T19:38:35Z,2026-09-26T17:30:00Z
SO-202608-00051,CDC-00000051,1,2026-08-02T20:00:27Z,BC,DEV,CAD,1315.75,Enterprise,2026-08-02T20:04:32Z,2026-09-26T17:30:00Z
SO-202608-00052,CDC-00000052,1,2026-08-02T20:08:16Z,QC,SVC,CAD,1290.62,Enterprise,2026-08-02T20:11:44Z,2026-09-26T17:30:00Z
SO-202608-00053,CDC-00000053,1,2026-08-02T20:10:01Z,AB,ACC,USD,204.74,Consumer,2026-08-02T20:12:04Z,2026-09-26T17:30:00Z
SO-202608-00054,CDC-00000054,1,2026-08-02T20:34:51Z,ON,DEV,CAD,1520.68,Consumer,2026-08-02T20:40:06Z,2026-09-26T17:30:00Z
SO-202608-00055,CDC-00000055,1,2026-08-02T20:36:53Z,ON,SVC,USD,1387.87,Enterprise,2026-08-02T20:42:27Z,2026-09-26T17:30:00Z
SO-202608-00056,CDC-00000056,1,2026-08-02T20:42:09Z,ON,DEV,CAD,421.81,Enterprise,2026-08-02T20:45:41Z,2026-09-26T17:30:00Z
