date_key,calendar_date,year,month,day_of_month,year_month,month_name,day_name
20260801,2026-08-01,2026,8,1,2026-08,August,Saturday
20260802,2026-08-02,2026,8,2,2026-08,August,Sunday
20260803,2026-08-03,2026,8,3,2026-08,August,Monday
20260804,2026-08-04,2026,8,4,2026-08,August,Tuesday
20260805,2026-08-05,2026,8,5,2026-08,August,Wednesday
20260806,2026-08-06,2026,8,6,2026-08,August,Thursday
20260807,2026-08-07,2026,8,7,2026-08,August,Friday
20260808,2026-08-08,2026,8,8,2026-08,August,Saturday
20260809,2026-08-09,2026,8,9,2026-08,August,Sunday
20260810,2026-08-10,2026,8,10,2026-08,August,Monday
20260811,2026-08-11,2026,8,11,2026-08,August,Tuesday
20260812,2026-08-12,2026,8,12,2026-08,August,Wednesday
20260813,2026-08-13,2026,8,13,2026-08,August,Thursday
20260814,2026-08-14,2026,8,14,2026-08,August,Friday
20260815,2026-08-15,2026,8,15,2026-08,August,Saturday
20260816,2026-08-16,2026,8,16,2026-08,August,Sunday
20260817,2026-08-17,2026,8,17,2026-08,August,Monday
20260818,2026-08-18,2026,8,18,2026-08,August,Tuesday
20260819,2026-08-19,2026,8,19,2026-08,August,Wednesday
20260820,2026-08-20,2026,8,20,2026-08,August,Thursday
20260821,2026-08-21,2026,8,21,2026-08,August,Friday
20260822,2026-08-22,2026,8,22,2026-08,August,Saturday
20260823,2026-08-23,2026,8,23,2026-08,August,Sunday
20260824,2026-08-24,2026,8,24,2026-08,August,Monday
20260825,2026-08-25,2026,8,25,2026-08,August,Tuesday
20260826,2026-08-26,2026,8,26,2026-08,August,Wednesday
20260827,2026-08-27,2026,8,27,2026-08,August,Thursday
20260828,2026-08-28,2026,8,28,2026-08,August,Friday
20260829,2026-08-29,2026,8,29,2026-08,August,Saturday
20260830,2026-08-30,2026,8,30,2026-08,August,Sunday
20260831,2026-08-31,2026,8,31,2026-08,August,Monday
