contract,key,value
net_revenue_cad,data_contract_version,1.0.0
net_revenue_cad,metric_name,net_revenue_cad
net_revenue_cad,metric_version,1.0.0
net_revenue_cad,orders_freshness_sla_minutes,240
net_revenue_cad,returns_freshness_sla_minutes,240
net_revenue_cad,accepted_currencies,CAD|USD
net_revenue_cad,max_category_return_rate_pct,25
net_revenue_cad,volume_anomaly_factor,3
net_revenue_cad,severity.ORDERS_FRESHNESS,BLOCKING
net_revenue_cad,severity.RETURNS_FRESHNESS,BLOCKING
net_revenue_cad,severity.DUPLICATE_BUSINESS_KEYS,BLOCKING
net_revenue_cad,severity.MISSING_FX,BLOCKING
net_revenue_cad,severity.ORPHAN_RETURNS,BLOCKING
net_revenue_cad,severity.MISSING_REQUIRED_KEYS,BLOCKING
net_revenue_cad,severity.UNSUPPORTED_CURRENCY,BLOCKING
net_revenue_cad,severity.DUPLICATES_RESOLVED,WARNING
net_revenue_cad,severity.QUARANTINED_ROWS,WARNING
net_revenue_cad,severity.HIGH_RETURN_RATE,WARNING
net_revenue_cad,severity.VOLUME_ANOMALY,WARNING
