rate_date,from_currency,to_currency,rate,published_at_utc,ingested_at
2026-08-01,USD,CAD,1.368900,2026-08-01T21:00:00Z,2026-09-26T17:00:00Z
2026-08-02,USD,CAD,1.370000,2026-08-02T21:00:00Z,2026-09-26T17:00:00Z
2026-08-03,USD,CAD,1.369800,2026-08-03T21:00:00Z,2026-09-26T17:00:00Z
2026-08-04,USD,CAD,1.371800,2026-08-04T21:00:00Z,2026-09-26T17:00:00Z
2026-08-05,USD,CAD,1.369000,2026-08-05T21:00:00Z,2026-09-26T17:00:00Z
2026-08-06,USD,CAD,1.368800,2026-08-06T21:00:00Z,2026-09-26T17:00:00Z
2026-08-07,USD,CAD,1.367100,2026-08-07T21:00:00Z,2026-09-26T17:00:00Z
2026-08-08,USD,CAD,1.367600,2026-08-08T21:00:00Z,2026-09-26T17:00:00Z
2026-08-09,USD,CAD,1.371200,2026-08-09T21:00:00Z,2026-09-26T17:00:00Z
2026-08-10,USD,CAD,1.373200,2026-08-10T21:00:00Z,2026-09-26T17:00:00Z
2026-08-11,USD,CAD,1.370300,2026-08-11T21:00:00Z,2026-09-26T17:00:00Z
2026-08-12,USD,CAD,1.367200,2026-08-12T21:00:00Z,2026-09-26T17:00:00Z
2026-08-13,USD,CAD,1.363300,2026-08-13T21:00:00Z,2026-09-26T17:00:00Z
2026-08-14,USD,CAD,1.361700,2026-08-14T21:00:00Z,2026-09-26T17:00:00Z
2026-08-15,USD,CAD,1.360800,2026-08-15T21:00:00Z,2026-09-26T17:00:00Z
2026-08-16,USD,CAD,1.363600,2026-08-16T21:00:00Z,2026-09-26T17:00:00Z
2026-08-17,USD,CAD,1.361400,2026-08-17T21:00:00Z,2026-09-26T17:00:00Z
2026-08-18,USD,CAD,1.364100,2026-08-18T21:00:00Z,2026-09-26T17:00:00Z
2026-08-19,USD,CAD,1.364800,2026-08-19T21:00:00Z,2026-09-26T17:00:00Z
2026-08-22,USD,CAD,1.365800,2026-08-22T21:00:00Z,2026-09-26T17:00:00Z
2026-08-23,USD,CAD,1.367000,2026-08-23T21:00:00Z,2026-09-26T17:00:00Z
2026-08-24,USD,CAD,1.365800,2026-08-24T21:00:00Z,2026-09-26T17:00:00Z
2026-08-25,USD,CAD,1.362900,2026-08-25T21:00:00Z,2026-09-26T17:00:00Z
2026-08-26,USD,CAD,1.366700,2026-08-26T21:00:00Z,2026-09-26T17:00:00Z
2026-08-27,USD,CAD,1.369600,2026-08-27T21:00:00Z,2026-09-26T17:00:00Z
2026-08-28,USD,CAD,1.368200,2026-08-28T21:00:00Z,2026-09-26T17:00:00Z
2026-08-29,USD,CAD,1.368400,2026-08-29T21:00:00Z,2026-09-26T17:00:00Z
2026-08-30,USD,CAD,1.371400,2026-08-30T21:00:00Z,2026-09-26T17:00:00Z
2026-08-31,USD,CAD,1.370500,2026-08-31T21:00:00Z,2026-09-26T17:00:00Z
