return_id,order_id,return_timestamp_utc,return_amount,currency_code,return_reason,source_updated_at,ingested_at
RMA-000001,SO-202608-00134,2026-08-08T12:14:01Z,2123.34,CAD,Changed mind,2026-08-08T12:43:52Z,2026-09-26T17:15:00Z
RMA-000002,SO-202608-00072,2026-08-10T14:38:59Z,1894.68,CAD,Changed mind,2026-08-10T15:27:57Z,2026-09-26T17:15:00Z
RMA-000003,SO-202608-00181,2026-08-11T10:26:52Z,157.52,CAD,Wrong item,2026-08-11T10:45:46Z,2026-09-26T17:15:00Z
RMA-000004,SO-202608-00001,2026-08-11T13:58:55Z,1497.82,CAD,Defective,2026-08-11T14:50:43Z,2026-09-26T17:15:00Z
RMA-000005,SO-202608-00034,2026-08-12T13:05:57Z,818.23,CAD,Wrong item,2026-08-12T13:56:50Z,2026-09-26T17:15:00Z
RMA-000006,SO-202608-00148,2026-08-13T10:11:25Z,837.11,CAD,Service cancelled,2026-08-13T10:58:27Z,2026-09-26T17:15:00Z
RMA-000007,SO-202608-00103,2026-08-14T12:53:59Z,2019.71,CAD,Changed mind,2026-08-14T13:35:12Z,2026-09-26T17:15:00Z
RMA-000008,SO-202608-00229,2026-08-15T18:50:22Z,240.51,CAD,Changed mind,2026-08-15T19:32:38Z,2026-09-26T17:15:00Z
RMA-000009,SO-202608-00391,2026-08-16T07:16:39Z,1616.28,CAD,Defective,2026-08-16T08:11:20Z,2026-09-26T17:15:00Z
RMA-000010,SO-202608-00544,2026-08-18T20:42:28Z,722.79,USD,Defective,2026-08-18T21:09:22Z,2026-09-26T17:15:00Z
RMA-000011,SO-202608-00349,2026-08-18T22:49:35Z,535.72,CAD,Wrong item,2026-08-18T23:18:48Z,2026-09-26T17:15:00Z
RMA-000012,SO-202608-00464,2026-08-19T06:14:34Z,57.08,CAD,Changed mind,2026-08-19T06:45:27Z,2026-09-26T17:15:00Z
RMA-000013,SO-202608-00158,2026-08-19T10:03:24Z,797.57,CAD,Wrong item,2026-08-19T10:58:02Z,2026-09-26T17:15:00Z
RMA-000014,SO-202608-00238,2026-08-20T07:55:23Z,928.43,CAD,Service cancelled,2026-08-20T08:04:02Z,2026-09-26T17:15:00Z
RMA-000015,SO-202608-00296,2026-08-20T09:37:21Z,361.49,CAD,Changed mind,2026-08-20T09:44:00Z,2026-09-26T17:15:00Z
RMA-000016,SO-202608-00283,2026-08-20T21:36:52Z,209.12,CAD,Changed mind,2026-08-20T21:49:39Z,2026-09-26T17:15:00Z
RMA-000017,SO-202608-00699,2026-08-22T01:39:02Z,623.92,CAD,Defective,2026-08-22T02:32:20Z,2026-09-26T17:15:00Z
RMA-000018,SO-202608-00279,2026-08-22T17:04:11Z,943.33,CAD,Defective,2026-08-22T17:39:26Z,2026-09-26T17:15:00Z
RMA-000019,SO-202608-00351,2026-08-22T18:10:14Z,500.53,CAD,Service cancelled,2026-08-22T18:56:22Z,2026-09-26T17:15:00Z
RMA-000020,SO-202608-00613,2026-08-22T21:35:32Z,95.19,CAD,Changed mind,2026-08-22T21:43:31Z,2026-09-26T17:15:00Z
RMA-000021,SO-202608-00479,2026-08-23T06:04:58Z,2139.12,CAD,Defective,2026-08-23T06:13:41Z,2026-09-26T17:15:00Z
RMA-000022,SO-202608-00567,2026-08-23T12:21:36Z,414.13,CAD,Wrong item,2026-08-23T12:57:51Z,2026-09-26T17:15:00Z
RMA-000023,SO-202608-00141,2026-08-23T14:38:22Z,1227.91,CAD,Defective,2026-08-23T15:17:10Z,2026-09-26T17:15:00Z
RMA-000024,SO-202608-00370,2026-08-23T18:02:48Z,565.12,CAD,Service cancelled,2026-08-23T18:08:27Z,2026-09-26T17:15:00Z
RMA-000025,SO-202608-00185,2026-08-24T17:30:43Z,552.41,CAD,Defective,2026-08-24T17:32:36Z,2026-09-26T17:15:00Z
RMA-000026,SO-202608-00782,2026-08-24T18:13:20Z,25.48,CAD,Wrong item,2026-08-24T19:09:18Z,2026-09-26T17:15:00Z
RMA-000027,SO-202608-00611,2026-08-25T12:35:45Z,540.89,CAD,Changed mind,2026-08-25T13:19:22Z,2026-09-26T17:15:00Z
RMA-000028,SO-202608-00159,2026-08-25T22:39:46Z,1597.55,CAD,Changed mind,2026-08-25T23:24:47Z,2026-09-26T17:15:00Z
RMA-000029,SO-202608-00769,2026-08-26T07:01:46Z,676.76,CAD,Wrong item,2026-08-26T07:26:35Z,2026-09-26T17:15:00Z
RMA-000030,SO-202608-00465,2026-08-26T11:20:26Z,681.30,CAD,Changed mind,2026-08-26T11:56:24Z,2026-09-26T17:15:00Z
RMA-000031,SO-202608-00396,2026-08-26T11:33:54Z,190.09,CAD,Changed mind,2026-08-26T12:21:56Z,2026-09-26T17:15:00Z
RMA-000032,SO-202608-00074,2026-08-26T22:12:01Z,2181.69,CAD,Defective,2026-08-26T22:19:40Z,2026-09-26T17:15:00Z
RMA-000033,SO-202608-00753,2026-08-27T02:02:33Z,1446.19,CAD,Changed mind,2026-08-27T03:02:15Z,2026-09-26T17:15:00Z
RMA-000034,SO-202608-00633,2026-08-27T17:28:35Z,598.26,CAD,Changed mind,2026-08-27T17:52:58Z,2026-09-26T17:15:00Z
RMA-000035,SO-202608-00614,2026-08-27T18:39:39Z,637.80,CAD,Changed mind,2026-08-27T19:30:08Z,2026-09-26T17:15:00Z
RMA-000036,SO-202608-00904,2026-08-27T19:14:54Z,278.05,CAD,Wrong item,2026-08-27T20:14:21Z,2026-09-26T17:15:00Z
RMA-000037,SO-202608-00655,2026-08-28T00:17:18Z,1386.91,CAD,Changed mind,2026-08-28T00:41:35Z,2026-09-26T17:15:00Z
RMA-000038,SO-202608-00418,2026-08-28T08:29:24Z,35.42,CAD,Wrong item,2026-08-28T08:42:00Z,2026-09-26T17:15:00Z
RMA-000039,SO-202608-00616,2026-08-28T13:45:56Z,657.44,CAD,Changed mind,2026-08-28T14:07:23Z,2026-09-26T17:15:00Z
RMA-000040,SO-202608-00247,2026-08-28T14:40:27Z,63.06,CAD,Changed mind,2026-08-28T15:35:47Z,2026-09-26T17:15:00Z
RMA-000041,SO-202608-00925,2026-08-28T21:14:12Z,226.82,CAD,Defective,2026-08-28T21:16:06Z,2026-09-26T17:15:00Z
RMA-000042,SO-202608-00377,2026-08-29T02:10:54Z,617.52,CAD,Service cancelled,2026-08-29T02:13:08Z,2026-09-26T17:15:00Z
RMA-000043,SO-202608-00710,2026-08-29T04:03:20Z,1238.78,CAD,Wrong item,2026-08-29T04:29:15Z,2026-09-26T17:15:00Z
RMA-000044,SO-202608-00014,2026-08-29T06:17:20Z,995.39,CAD,Service cancelled,2026-08-29T06:50:01Z,2026-09-26T17:15:00Z
RMA-000045,SO-202608-00257,2026-08-29T08:29:59Z,855.21,CAD,Wrong item,2026-08-29T09:10:31Z,2026-09-26T17:15:00Z
RMA-000046,SO-202608-00051,2026-08-29T20:28:15Z,1315.75,CAD,Defective,2026-08-29T21:13:50Z,2026-09-26T17:15:00Z
RMA-000047,SO-202608-00632,2026-08-30T02:51:33Z,2155.40,CAD,Wrong item,2026-08-30T03:22:17Z,2026-09-26T17:15:00Z
RMA-000048,SO-202608-00576,2026-08-31T18:38:50Z,1514.61,USD,Defective,2026-08-31T19:28:09Z,2026-09-26T17:15:00Z
RMA-000049,SO-202608-01015,2026-08-31T20:34:08Z,2060.31,CAD,Wrong item,2026-08-31T21:23:36Z,2026-09-26T17:15:00Z
RMA-000050,SO-202608-00271,2026-08-31T22:49:29Z,1162.06,CAD,Defective,2026-08-31T23:02:48Z,2026-09-26T17:15:00Z
RMA-000051,SO-202608-00877,2026-09-01T11:29:22Z,933.94,CAD,Changed mind,2026-09-01T11:51:23Z,2026-09-26T17:15:00Z
RMA-000052,SO-202608-00420,2026-09-01T17:31:46Z,489.45,CAD,Changed mind,2026-09-01T18:30:07Z,2026-09-26T17:15:00Z
RMA-000053,SO-202608-00354,2026-09-01T23:02:08Z,1845.12,CAD,Wrong item,2026-09-01T23:28:15Z,2026-09-26T17:15:00Z
RMA-000054,SO-202608-00618,2026-09-02T01:44:59Z,32.70,USD,Changed mind,2026-09-02T02:08:55Z,2026-09-26T17:15:00Z
RMA-000055,SO-202608-00221,2026-09-02T02:52:43Z,183.61,CAD,Wrong item,2026-09-02T02:56:12Z,2026-09-26T17:15:00Z
RMA-000056,SO-202608-01049,2026-09-02T08:59:51Z,1542.87,CAD,Wrong item,2026-09-02T09:30:41Z,2026-09-26T17:15:00Z
RMA-000057,SO-202608-00236,2026-09-02T15:54:46Z,2244.42,CAD,Defective,2026-09-02T15:57:01Z,2026-09-26T17:15:00Z
